Город,URL,Население,H1 (что видит пользователь),Title,Приоритет,Рекомендуемый бюджет (день)
Москва,https://салютград.рф/moskva,"13,000,000","Незабываемые салюты в Москве","Купить фейерверки и салюты в Москве | СалютГрад",1,"5,000-10,000₽"
Балашиха,https://салютград.рф/balashiha,"520,000","Незабываемые салюты в Балашихе","Купить фейерверки и салюты в Балашихе | СалютГрад",2,"2,000-3,000₽"
Подольск,https://салютград.рф/podolsk,"300,000","Незабываемые салюты в Подольске","Купить фейерверки и салюты в Подольске | СалютГрад",3,"1,500-2,500₽"
Химки,https://салютград.рф/himki,"260,000","Незабываемые салюты в Химках","Купить фейерверки и салюты в Химках | СалютГрад",4,"1,500-2,500₽"
Мытищи,https://салютград.рф/mytishchi,"250,000","Незабываемые салюты в Мытищах","Купить фейерверки и салюты в Мытищах | СалютГрад",5,"1,500-2,500₽"
Королёв,https://салютград.рф/korolev,"225,000","Незабываемые салюты в Королёве","Купить фейерверки и салюты в Королёве | СалютГрад",6,"1,000-2,000₽"
Люберцы,https://салютград.рф/lyubertsy,"210,000","Незабываемые салюты в Люберцах","Купить фейерверки и салюты в Люберцах | СалютГрад",7,"1,000-2,000₽"
Красногорск,https://салютград.рф/krasnogorsk,"180,000","Незабываемые салюты в Красногорске","Купить фейерверки и салюты в Красногорске | СалютГрад",8,"1,000-2,000₽"
Электросталь,https://салютград.рф/elektrostal,"160,000","Незабываемые салюты в Электростали","Купить фейерверки и салюты в Электростали | СалютГрад",9,"500-1,500₽"
Железнодорожный,https://салютград.рф/zheleznodorozhny,"155,000","Незабываемые салюты в Железнодорожном","Купить фейерверки и салюты в Железнодорожном | СалютГрад",10,"500-1,500₽"
Одинцово,https://салютград.рф/odincovo,"150,000","Незабываемые салюты в Одинцово","Купить фейерверки и салюты в Одинцово | СалютГрад",11,"500-1,500₽"
Коломна,https://салютград.рф/kolomna,"140,000","Незабываемые салюты в Коломне","Купить фейерверки и салюты в Коломне | СалютГрад",12,"500-1,500₽"
Домодедово,https://салютград.рф/domodedovo,"130,000","Незабываемые салюты в Домодедово","Купить фейерверки и салюты в Домодедово | СалютГрад",13,"500-1,500₽"
Серпухов,https://салютgrad.рф/serpuhov,"125,000","Незабываемые салюты в Серпухове","Купить фейерверки и салюты в Серпухове | СалютГрад",14,"500-1,500₽"
Щёлково,https://салютград.рф/shchelkovo,"125,000","Незабываемые салюты в Щёлково","Купить фейерверки и салюты в Щёлково | СалютГрад",15,"500-1,500₽"
Орехово-Зуево,https://салютград.рф/orekhovo-zuevo,"120,000","Незабываемые салюты в Орехово-Зуево","Купить фейерверки и салюты в Орехово-Зуево | СалютГрад",16,"500-1,500₽"
Пушкино,https://салютград.рф/pushkino,"110,000","Незабываемые салюты в Пушкино","Купить фейерверки и салюты в Пушкино | СалютГрад",17,"500-1,500₽"
Реутов,https://салютград.рф/reutov,"110,000","Незабываемые салюты в Реутове","Купить фейерверки и салюты в Реутове | СалютГрад",18,"500-1,500₽"
Жуковский,https://салютград.рф/zhukovskiy,"110,000","Незабываемые салюты в Жуковском","Купить фейерверки и салюты в Жуковском | СалютГрад",19,"500-1,500₽"
Ногинск,https://салютград.рф/noginsk,"100,000","Незабываемые салюты в Ногинске","Купить фейерверки и салюты в Ногинске | СалютГрад",20,"500-1,500₽"


